Run,Condition,BioReplicate
CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00418_NAT,NAT,1
CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00606_NAT,NAT,2
CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-01882_NAT,NAT,3
CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-00577_NAT,NAT,4
CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-00733_NAT,NAT,5
CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00418_T,T,1
CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00606_T,T,2
CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-01882_T,T,3
CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-00577_T,T,4
CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-00733_T,T,5
